"0.001","0.035","0.07","0.104","0.139","0.173","0.208","0.242","0.277","0.311","0.345","0.38","0.414","0.449","0.483","0.518","0.552","0.587","0.621","0.656","0.69","0.724","0.759","0.793","0.828","0.862","0.897","0.931","0.966","1"
0.4,0.268,0.136,0.362,0.254,0.158,0.338,0.518,0.948,0.22,0.452,0.376,0.208,0.23,0.108,0.358,0.464,0.12,0.254,0.002,0.564,0.512,0.856,0.67,0.262,0.372,0.102,0.354,0.2,0.37
0.42,0.61,0.034,0.284,0.512,0.764,0.436,0.098,0.042,0.626,0.162,0.368,0.202,0.362,0.62,0.522,0.282,0.352,0.054,0.258,0.086,0.108,0.592,0.334,0.422,0.416,0.456,0.156,0.158,0.294
0.114,0.04,0.45,0.312,0.272,0.316,0.332,0.264,0.008,0.292,0.226,0.766,0.248,0.23,0.428,0.044,0.358,0.034,0.098,0.488,0.594,0.306,0.508,0.278,0.192,0.148,0.312,0.046,0.4,0.34
0.052,0.416,0.318,0.342,0.178,0.524,0.054,0.02,0.448,0.1,0.446,0.422,0.482,0.732,0.138,0.04,0.334,0.188,0.778,0.266,0.152,0.456,0.028,0.13,0.08,0.026,0.066,0.106,0.472,0.564
0.192,0.474,0.312,0.402,0.414,0.588,0.33,0.346,0.766,0.262,0.502,0.282,0.788,0.124,0.368,0.076,0.346,0.164,0.16,0.714,0.356,0.598,0.3,0.278,0.874,0.15,0.184,0.024,0.604,0.514
0.564,0.214,0.51,0.326,0.228,0.686,0.258,0.454,0.652,0.442,0.502,0.22,0.104,0.496,0.366,0.332,0.378,0.172,0.364,0.37,0.608,0.636,0.37,0.716,0.47,0.272,0.354,0.616,0.756,0.642
0.528,0.47,0.554,0.134,0.75,0.394,0.186,0.366,0.302,0.35,0.232,0.34,0.422,0.266,0.33,0.376,0.728,0.372,0.374,0.09,0.27,0.3,0.16,0.14,0.338,0.272,0.446,0.546,0.276,0.504
0.244,0.816,0.048,0.234,0.372,0.13,0.206,0.444,0.32,0.708,0.006,0.108,0.134,0.45,0.534,0.32,0.732,0.428,0.494,0.846,0.466,0.45,0.794,0.21,0.448,0.082,0.296,0.676,0.578,0.382
0.032,0.08,0.208,0.792,0.272,0.388,0.288,0.332,0.382,0.542,0.414,0.506,0.47,0.164,0.37,0.026,0.934,0.578,0.418,0.696,0.718,0.55,0.894,0.562,0.244,0.302,0.3,0.484,0.444,0.51
0.244,0.692,0.222,0.524,0.272,0.816,0.37,0.734,0.214,0.516,0.572,0.536,0.456,0.216,0.598,0.476,0.5,0.44,0.206,0.552,0.56,0.482,0.496,0.308,0.76,0.2,0.14,0.216,0.306,0.604
0.12,0.724,0.546,0.334,0.94,0.084,0.274,0.544,0.314,0.478,0.142,0.542,0.334,0.178,0.602,0.47,0.608,0.424,0.298,0.382,0.076,0.174,0.532,0.638,0.348,0.376,0.922,0.594,0.554,0.274
0.516,0.87,0.058,0.048,0.874,0.114,0.948,0.45,0.238,0.362,0.38,0.186,0.2,0.24,0.508,0.44,0.146,0.536,0.056,0.188,0.432,0.394,0.146,0.734,0.626,0.214,0.312,0.566,0.776,0.36
0.134,0.302,0.174,0.048,0.468,0.102,0.732,0.166,0.296,0.236,0.55,0.334,0.07,0.068,0.524,0.164,0.326,0.668,0.224,0.31,0.516,0.256,0.76,0.568,0.378,0.452,0.22,0.518,0.092,0.254
0.166,0.26,0.152,0.534,0.03,0.576,0.708,0.072,0.226,0.806,0.732,0.236,0.178,0.354,0.772,0.012,0.698,0.072,0.314,0.012,0.536,0.518,0.486,0.754,0.064,0.114,0.38,0.374,0.036,0.406
0.516,0.496,0.224,0.482,0.582,0.09,0.304,0.234,0.628,0.556,0.444,0.16,0.386,0.13,0.082,0.17,0.358,0.804,0.016,0.904,0.384,0.51,0.15,0.384,0.038,0.322,0.296,0.41,0.666,0.908
0.216,0.208,0.458,0.786,0.43,0.238,0.38,0.292,0.772,0.414,0.152,0.222,0.398,0.136,0.456,0.306,0.864,0.404,0.318,0.658,0.592,0.134,0.228,0.484,0.324,0.158,0.064,0.444,0.11,0.238
0.412,0.91,0.338,0.88,0.218,0.036,0.092,0.344,0.15,0.574,0.19,0.374,0.554,0.526,0.124,0.168,0.388,0.168,0.646,0.012,0.484,0.482,0.18,0.382,0.302,0.534,0.166,0.554,0.024,0.468
0.836,0.636,0.202,0.266,0.78,0.318,0.336,0.116,0.492,0.216,0.634,0.262,0.286,0.348,0.45,0.338,0.364,0.514,0.702,0.844,0.722,0.578,0.148,0.876,0.02,0.508,0,0.096,0.188,0.682
0.664,0.278,0.266,0.722,0.5,0.296,0.012,0.384,0.618,0.352,0.206,0.72,0.852,0.072,0.746,0.102,0.438,0.342,0.302,0.418,0.08,0.386,0.004,0.226,0.506,0.746,0.598,0.35,0.868,0.59
0.552,0.372,0.15,0.284,0.126,0.056,0.054,0.426,0.542,0.534,0.144,0.638,0.366,0.252,0.104,0.466,0.388,0.438,0.892,0.108,0.286,0.318,0.17,0.452,0.322,0.124,0.282,0.458,0.204,0.424
0.12,0.6,0.326,0.416,0.878,0.554,0.69,0.486,0.112,0.006,0.024,0.472,0.366,0.36,0.178,0.32,0.012,0.29,0.184,0.272,0.748,0.678,0.55,0.198,0.158,0.582,0.492,0.804,0.478,0.398
0.37,0.228,0.458,0.42,0.778,0.584,0.376,0.266,0.306,0.138,0.028,0.494,0.338,0.878,0.168,0.524,0.25,0.164,0.856,0.656,0.318,0.302,0.15,0.27,0.436,0.262,0.3,0.584,0.674,0.642
0.544,0.44,0.39,0.288,0.366,0.222,0.294,0.528,0.284,0.082,0.364,0.192,0.194,0.324,0.35,0.238,0.508,0.266,0.332,0.132,0.294,0.756,0.082,0.442,0.402,0.288,0.314,0.182,0.582,0.428
0.552,0.73,0.24,0.326,0.704,0.26,0.334,0.432,0.618,0.648,0.196,0.166,0.91,0.356,0.268,0.224,0.302,0.556,0.306,0.068,0.644,0.306,0.152,0.488,0.062,0.228,0.282,0.37,0.646,0.412
0.768,0.426,0.386,0.352,0.874,0.324,0.648,0.274,0.356,0.4,0.374,0.284,0.356,0.83,0.696,0.392,0.55,0.816,0.248,0.278,0.53,0.346,0.158,0.272,0.736,0.194,0.322,0.406,0.312,0.254
0.244,0.592,0.118,0.564,0.708,0.904,0.354,0.12,0.218,0.466,0.642,0.228,0.1,0.02,0.292,0.438,0.112,0.228,0.072,0.346,0.882,0.46,0.28,0.352,0.488,0.432,0.664,0.518,0.326,0.394
0.128,0.696,0.072,0.378,0.384,0.472,0.45,0.45,0.424,0.34,0.376,0.196,0.038,0.282,0.302,0.472,0.228,0.48,0.358,0.202,0.342,0.308,0.288,0.696,0.426,0.49,0.414,0.184,0.18,0.144
0.644,0.266,0.278,0.222,0.51,0.284,0.46,0.286,0.072,0.226,0.428,0.404,0.464,0.164,0.372,0.512,0.216,0.396,0.062,0.218,0.162,0.268,0.254,0.838,0.12,0.576,0.17,0.04,0.356,0.69
0.566,0.368,0.388,0.25,0.178,0.466,0.636,0.356,0.572,0.498,0.296,0.614,0.626,0.364,0.628,0.424,0.58,0.242,0.448,0.154,0.436,0.836,0.364,0.818,0.466,0.44,0.388,0.348,0.188,0.3
0.504,0.808,0.568,0.422,0.478,0.496,0.36,0.13,0.602,0.162,0.296,0.384,0.102,0.248,0.194,0.882,0.064,0.294,0.404,0.598,0.016,0.636,0.092,0.46,0.362,0.628,0.462,0.656,0.502,0.074
0.514,0.232,0.698,0.5,0.27,0.076,0.676,0.27,0.658,0.01,0.116,0.166,0.134,0.342,0.46,0.802,0.902,0.146,0.158,0.274,0.124,0.252,0.486,0.22,0.288,0.508,0.702,0.346,0.43,0.126
0.104,0.168,0.3,0.498,0.094,0.284,0.59,0.682,0.12,0.606,0.42,0.046,0.158,0.47,0.458,0.572,0.248,0.354,0.522,0.436,0.192,0.428,0.168,0.396,0.338,0.79,0.346,0.53,0.318,0.806
0.028,0.412,0.306,0.482,0.414,0.296,0.522,0.188,0.316,0.27,0.862,0.406,0.664,0.28,0.206,0.408,0.116,0.032,0.012,0.38,0.41,0.452,0.22,0.352,0.37,0.586,0.778,0.22,0.124,0.32
0.328,0.362,0.632,0.95,0.596,0.108,0.324,0.372,0.294,0.614,0.58,0.754,0.096,0.33,0.576,0.294,0.314,0.02,0.164,0.256,0.196,0.176,0.526,0.002,0.034,0.556,0.314,0.12,0.758,0.24
0.014,0.108,0.114,0.41,0.622,0.358,0.374,0.48,0.012,0.29,0.88,0.904,0.254,0.52,0.28,0.794,0.262,0.434,0.52,0.034,0.338,0.382,0.118,0.328,0.14,0.672,0.33,0.222,0.184,0.602
0.024,0.748,0.322,0.658,0.868,0.352,0.798,0.344,0.034,0.1,0.432,0.146,0.454,0.394,0.762,0.1,0.59,0.012,0.276,0.502,0.752,0.518,0.444,0.448,0.46,0.312,0.442,0.412,0.438,0.382
0.242,0.2,0.184,0.392,0.486,0.252,0.244,0.266,0.182,0.464,0.24,0.852,0.738,0.324,0.31,0.292,0.098,0.608,0.328,0.076,0.68,0.278,0.18,0.526,0.014,0.782,0.122,0.45,0.686,0.066
0.604,0.392,0.398,0.084,0.292,0.884,0.306,0.442,0.01,0.234,0.806,0.614,0.4,0.89,0.178,0.67,0.338,0.202,0.138,0.13,0.196,0.36,0.408,0.61,0.846,0.374,0.256,0.456,0.092,0.226
0.748,0.39,0.312,0.398,0.318,0.322,0.4,0.536,0.392,0.846,0.24,0.554,0.622,0.638,0.22,0.304,0.384,0.38,0.224,0.626,0.834,0.452,0.466,0.126,0.566,0.728,0.686,0.138,0.384,0.038
0.344,0.462,0.568,0.248,0.728,0.528,0.38,0.452,0.634,0.45,0.652,0.262,0.248,0.388,0.49,0.376,0.548,0.196,0.228,0.808,0.102,0.422,0.81,0.528,0.354,0.47,0.194,0.106,0.672,0.434
0.902,0.5,0.008,0.418,0.21,0.7,0.022,0.216,0.12,0.434,0.458,0.386,0.366,0.184,0.632,0.412,0.288,0.052,0.402,0.458,0.346,0.488,0.204,0.008,0.5,0.614,0.02,0.466,0.484,0.282
0.312,0.438,0.252,0.538,0.474,0.178,0.458,0.424,0.238,0.744,0.458,0.296,0.488,0.328,0.412,0.222,0.464,0.886,0.37,0.33,0.538,0.258,0.152,0.184,0.602,0.4,0.744,0.716,0.32,0.156
0.792,0.004,0.722,0.634,0.402,0.27,0.506,0.864,0.324,0.352,0.86,0.274,0.218,0.414,0.866,0.762,0.688,0.26,0.442,0.686,0.552,0.304,0.02,0.29,0.604,0.286,0.774,0.046,0.086,0.882
0.336,0.568,0.098,0.48,0.554,0.268,0.218,0.412,0.166,0.864,0.186,0.482,0.36,0.246,0.728,0.408,0.018,0.71,0.376,0.772,0.356,0.462,0.384,0.128,0.258,0.56,0.608,0.348,0.816,0.33
0.468,0.244,0.47,0.244,0.598,0.222,0.688,0.648,0.442,0.184,0.658,0.862,0.46,0.698,0.574,0.428,0.604,0.744,0.15,0.384,0.366,0.388,0.558,0.56,0.424,0.504,0.286,0.25,0.25,0.408
