"0.001","0.035","0.07","0.104","0.139","0.173","0.208","0.242","0.277","0.311","0.345","0.38","0.414","0.449","0.483","0.518","0.552","0.587","0.621","0.656","0.69","0.724","0.759","0.793","0.828","0.862","0.897","0.931","0.966","1"
0.072,0.66,0.526,0.77,0.804,0.324,0.856,0.904,0.74,0.802,0.904,0.762,0.544,0.72,0.556,0.808,0.952,0.932,0.87,0.94,0.676,0.864,0.638,0.788,0.92,0.776,0.924,0.964,0.758,0.764
0.072,0.34,0.734,0.126,0.7,0.85,0.618,0.89,0.454,0.912,0.864,0.674,0.49,0.904,0.922,0.886,0.886,0.596,0.916,0.918,0.89,0.822,0.904,0.92,0.696,0.94,0.94,0.832,0.872,0.932
0.036,0.186,0.682,0.724,0.644,0.398,0.666,0.794,0.904,0.936,0.844,0.706,0.666,0.874,0.5,0.806,0.944,0.936,0.862,0.732,0.894,0.754,0.852,0.476,0.938,0.866,0.46,0.918,0.882,0.786
0.098,0.236,0.724,0.62,0.228,0.462,0.342,0.806,0.726,0.904,0.92,0.718,0.914,0.59,0.656,0.868,0.834,0.9,0.892,0.28,0.928,0.704,0.798,0.692,0.934,0.722,0.858,0.932,0.872,0.838
0.108,0.616,0.704,0.224,0.7,0.706,0.502,0.846,0.524,0.686,0.888,0.906,0.922,0.746,0.434,0.1,0.898,0.744,0.89,0.928,0.9,0.846,0.906,0.804,0.804,0.712,0.472,0.88,0.964,0.536
0.092,0.476,0.304,0.728,0.44,0.73,0.712,0.912,0.74,0.918,0.838,0.94,0.634,0.77,0.93,0.886,0.628,0.752,0.848,0.872,0.788,0.92,0.834,0.674,0.878,0.878,0.91,0.92,0.718,0.938
0.092,0.102,0.72,0.454,0.556,0.832,0.546,0.102,0.802,0.228,0.882,0.274,0.86,0.944,0.902,0.132,0.92,0.906,0.542,0.652,0.684,0.674,0.908,0.932,0.902,0.882,0.538,0.536,0.932,0.906
0.07,0.428,0.682,0.828,0.81,0.756,0.894,0.908,0.87,0.89,0.9,0.878,0.606,0.75,0.874,0.782,0.876,0.88,0.92,0.906,0.802,0.968,0.718,0.914,0.92,0.86,0.55,0.646,0.96,0.928
0,0.44,0.746,0.794,0.536,0.766,0.58,0.834,0.36,0.88,0.856,0.588,0.87,0.9,0.902,0.904,0.872,0.896,0.862,0.876,0.94,0.936,0.816,0.894,0.89,0.736,0.892,0.83,0.594,0.902
0.078,0.05,0.596,0.386,0.868,0.31,0.802,0.89,0.922,0.914,0.654,0.854,0.914,0.548,0.88,0.124,0.528,0.856,0.878,0.66,0.854,0.752,0.892,0.494,0.924,0.952,0.936,0.956,0.956,0.884
