"0.001","0.035","0.07","0.104","0.139","0.173","0.208","0.242","0.277","0.311","0.345","0.38","0.414","0.449","0.483","0.518","0.552","0.587","0.621","0.656","0.69","0.724","0.759","0.793","0.828","0.862","0.897","0.931","0.966","1"
0.004,0.034,0.078,0.13,0.154,0.168,0.21,0.234,0.28,0.236,0.262,0.286,0.288,0.3,0.348,0.334,0.366,0.346,0.366,0.36,0.38,0.358,0.32,0.396,0.368,0.396,0.396,0.434,0.406,0.412
0.004,0.048,0.082,0.122,0.152,0.14,0.196,0.226,0.264,0.246,0.286,0.26,0.33,0.318,0.318,0.342,0.328,0.33,0.36,0.384,0.384,0.37,0.398,0.408,0.44,0.364,0.43,0.452,0.4,0.374
0.002,0.046,0.094,0.124,0.134,0.202,0.164,0.248,0.238,0.262,0.264,0.314,0.304,0.326,0.292,0.31,0.302,0.344,0.358,0.34,0.342,0.358,0.396,0.394,0.396,0.406,0.418,0.42,0.434,0.446
0.004,0.054,0.096,0.158,0.162,0.166,0.2,0.226,0.244,0.234,0.272,0.3,0.324,0.332,0.328,0.342,0.354,0.37,0.352,0.352,0.36,0.37,0.374,0.44,0.366,0.376,0.41,0.398,0.426,0.426
0,0.04,0.096,0.126,0.124,0.196,0.182,0.21,0.248,0.264,0.254,0.328,0.272,0.288,0.288,0.31,0.372,0.376,0.318,0.346,0.348,0.342,0.376,0.35,0.406,0.392,0.386,0.454,0.438,0.432
0,0.052,0.066,0.1,0.118,0.182,0.182,0.2,0.226,0.234,0.288,0.278,0.308,0.312,0.366,0.35,0.336,0.348,0.358,0.378,0.36,0.368,0.39,0.374,0.42,0.42,0.45,0.382,0.422,0.408
0.004,0.036,0.066,0.13,0.162,0.18,0.2,0.208,0.232,0.27,0.26,0.324,0.338,0.34,0.354,0.304,0.34,0.354,0.368,0.364,0.342,0.38,0.418,0.408,0.41,0.384,0.414,0.422,0.44,0.42
0.006,0.046,0.09,0.126,0.174,0.174,0.198,0.206,0.292,0.252,0.242,0.272,0.306,0.332,0.324,0.286,0.326,0.33,0.344,0.382,0.428,0.366,0.416,0.382,0.454,0.416,0.418,0.366,0.442,0.422
0.004,0.054,0.102,0.11,0.166,0.204,0.188,0.214,0.248,0.244,0.274,0.288,0.274,0.32,0.36,0.344,0.322,0.366,0.382,0.348,0.394,0.392,0.412,0.366,0.376,0.42,0.454,0.42,0.418,0.46
0.004,0.05,0.1,0.132,0.14,0.168,0.2,0.214,0.22,0.258,0.282,0.294,0.318,0.31,0.3,0.32,0.354,0.354,0.352,0.4,0.368,0.408,0.382,0.386,0.418,0.398,0.374,0.45,0.382,0.402
0,0.078,0.084,0.124,0.138,0.164,0.216,0.208,0.224,0.27,0.244,0.29,0.26,0.278,0.33,0.314,0.364,0.268,0.364,0.392,0.376,0.392,0.378,0.46,0.406,0.418,0.388,0.432,0.396,0.41
0.002,0.04,0.094,0.12,0.16,0.172,0.2,0.244,0.218,0.29,0.272,0.274,0.308,0.304,0.342,0.316,0.36,0.36,0.368,0.372,0.34,0.38,0.428,0.42,0.388,0.406,0.412,0.418,0.404,0.422
0,0.046,0.076,0.122,0.118,0.172,0.208,0.21,0.242,0.252,0.298,0.284,0.346,0.34,0.328,0.354,0.334,0.358,0.364,0.364,0.41,0.398,0.428,0.4,0.394,0.412,0.378,0.426,0.432,0.408
0.004,0.084,0.072,0.126,0.172,0.18,0.204,0.228,0.204,0.246,0.254,0.238,0.308,0.332,0.334,0.316,0.304,0.346,0.336,0.356,0.39,0.356,0.394,0.404,0.372,0.46,0.42,0.42,0.416,0.404
0.004,0.024,0.092,0.114,0.148,0.188,0.21,0.224,0.198,0.188,0.246,0.252,0.312,0.296,0.284,0.302,0.346,0.344,0.354,0.39,0.368,0.392,0.408,0.354,0.386,0.414,0.384,0.42,0.402,0.438
0.006,0.046,0.106,0.108,0.138,0.144,0.18,0.242,0.274,0.292,0.268,0.32,0.298,0.292,0.308,0.338,0.28,0.374,0.328,0.406,0.378,0.388,0.384,0.36,0.378,0.398,0.434,0.398,0.396,0.404
0.004,0.046,0.118,0.112,0.168,0.182,0.178,0.238,0.232,0.256,0.298,0.27,0.332,0.288,0.316,0.316,0.324,0.304,0.348,0.35,0.37,0.402,0.362,0.43,0.43,0.418,0.396,0.426,0.434,0.422
0,0.054,0.084,0.116,0.158,0.186,0.212,0.234,0.252,0.276,0.258,0.28,0.304,0.296,0.312,0.332,0.326,0.316,0.386,0.34,0.374,0.346,0.362,0.398,0.424,0.386,0.406,0.432,0.408,0.412
0.004,0.032,0.082,0.136,0.15,0.18,0.192,0.228,0.198,0.252,0.284,0.284,0.308,0.324,0.342,0.368,0.314,0.394,0.356,0.36,0.378,0.368,0.404,0.368,0.416,0.404,0.408,0.41,0.42,0.47
0.004,0.04,0.088,0.088,0.168,0.178,0.208,0.184,0.236,0.256,0.272,0.264,0.308,0.296,0.308,0.32,0.364,0.326,0.354,0.39,0.402,0.35,0.386,0.366,0.412,0.426,0.45,0.44,0.414,0.418
0.008,0.074,0.084,0.102,0.16,0.16,0.21,0.222,0.29,0.274,0.256,0.26,0.31,0.304,0.342,0.336,0.354,0.382,0.374,0.34,0.398,0.41,0.38,0.358,0.366,0.402,0.402,0.414,0.424,0.408
