"0.001","0.035","0.07","0.104","0.139","0.173","0.208","0.242","0.277","0.311","0.345","0.38","0.414","0.449","0.483","0.518","0.552","0.587","0.621","0.656","0.69","0.724","0.759","0.793","0.828","0.862","0.897","0.931","0.966","1"
0.096,0.118,0.14,0.154,0.09,0.126,0.106,0.138,0.09,0.098,0.148,0.112,0.106,0.128,0.102,0.146,0.128,0.122,0.106,0.116,0.11,0.108,0.122,0.124,0.09,0.126,0.108,0.136,0.106,0.136
0.112,0.12,0.138,0.146,0.134,0.122,0.14,0.118,0.114,0.134,0.13,0.128,0.124,0.128,0.108,0.106,0.136,0.118,0.118,0.13,0.112,0.1,0.096,0.104,0.102,0.122,0.094,0.132,0.108,0.134
0.108,0.126,0.136,0.134,0.1,0.118,0.136,0.132,0.116,0.13,0.12,0.108,0.128,0.118,0.116,0.122,0.12,0.09,0.126,0.12,0.09,0.094,0.096,0.116,0.096,0.102,0.126,0.104,0.108,0.112
0.124,0.078,0.11,0.102,0.136,0.108,0.118,0.064,0.126,0.116,0.116,0.13,0.128,0.116,0.118,0.12,0.106,0.098,0.106,0.12,0.128,0.108,0.112,0.132,0.114,0.106,0.108,0.12,0.118,0.11
0.126,0.14,0.098,0.156,0.144,0.106,0.122,0.11,0.114,0.148,0.12,0.128,0.112,0.106,0.14,0.142,0.106,0.112,0.104,0.13,0.108,0.098,0.118,0.12,0.13,0.098,0.122,0.124,0.124,0.104
0.11,0.096,0.12,0.14,0.124,0.116,0.142,0.116,0.124,0.132,0.12,0.102,0.09,0.116,0.116,0.114,0.122,0.13,0.122,0.11,0.118,0.126,0.116,0.12,0.102,0.106,0.134,0.102,0.088,0.138
0.144,0.108,0.108,0.142,0.124,0.112,0.162,0.11,0.122,0.102,0.12,0.144,0.13,0.128,0.13,0.102,0.148,0.106,0.122,0.178,0.116,0.114,0.106,0.098,0.12,0.12,0.12,0.116,0.1,0.116
0.128,0.112,0.116,0.118,0.098,0.098,0.126,0.13,0.088,0.1,0.102,0.114,0.114,0.124,0.146,0.114,0.13,0.132,0.11,0.156,0.138,0.1,0.11,0.114,0.11,0.134,0.102,0.13,0.102,0.094
0.12,0.12,0.098,0.104,0.102,0.13,0.142,0.106,0.106,0.13,0.13,0.124,0.108,0.124,0.108,0.136,0.12,0.094,0.132,0.12,0.118,0.128,0.098,0.124,0.15,0.108,0.1,0.11,0.118,0.112
